주차,아이템대분류,중분류,소분류,판매량,판매액,정상가환원매출,할인율(%)
200704,티셔츠류,런닝형티셔츠,전사반팔티,7021,50488400,100221800,49.6
200704,티셔츠류,맨투맨,맨투맨무지,624,5616000,12235200,54.1
200704,티셔츠류,맨투맨,맨투맨변형,78963,1246664500,2443715400,49.0
200704,티셔츠류,반팔티셔츠,무지폴로티,-16,-80000,-204800,60.9
200704,티셔츠류,반팔티셔츠,변형폴로티,10,100000,158000,36.7
200704,패션잡화,가방,가방,722,15341700,30299600,49.4
200704,패션잡화,모자,모자,2302,30501400,40999600,25.6
200704,패션잡화,벨트,벨트,1942,24306800,45242600,46.3
200704,패션잡화,양말,양말,2587,10476800,10563200,0.8
200704,패션잡화,"우비,우산",우산,1,7000,9800,28.6
200704,패션잡화,장갑,장갑,1113,11065800,22133400,50.0
200704,패션잡화,패브릭잡화,목도리(머플러),1412,14696100,29447600,50.1
200705,바지류,바지,다이마루바지,2910,32559300,59838000,45.6
200705,바지류,바지,마바지,-4,-63200,-63200,0.0
200705,바지류,바지,반바지,61,1300000,2300400,43.5
200705,바지류,바지,변형바지,12185,354292100,520994400,32.0
200705,바지류,청바지,청바지,13673,494185600,604791400,18.3
200705,생활잡화,"문구,완구류",종이류,-6,-30000,-58800,49.0
200705,셔츠류,남방,나시,-2,-30000,52400,157.3
200705,셔츠류,남방,무지 셔츠,378,9468000,9644400,1.8
200705,셔츠류,남방,변형 셔츠,362,7438700,14609600,49.1
200705,셔츠류,남방,스트라이프,1477,20748500,40606600,48.9
200705,셔츠류,남방,체크,7573,123127000,205921400,40.2
200705,스웨터류,스웨터,기본스웨터,9574,138987400,309715200,55.1
200705,스웨터류,스웨터,풀오버스웨터,12522,296013900,519963600,43.1
200705,스웨터류,스웨터가디건,가디건,15092,440462100,801025600,45.0
200705,스포츠웨어류,수영복,수영복,4,140000,239200,41.5
200705,신발,슬리퍼,슬리퍼(신발류),3,59400,59400,0.0
200705,신발,캔버스화,운동화,1568,27571200,48454400,43.1
200705,액세서리,액세서리 기타,"와펜,브로찌류",63,859200,1222400,29.7
200705,여성언더웨어,여성런닝,여성런닝,26,130000,332800,60.9
200705,여성언더웨어,여성팬티,삼각팬티,40,140000,312000,55.1
200705,외의류,점퍼,"가죽점퍼,무스탕",183,7434000,22756200,67.3
200705,외의류,점퍼,다운점퍼,5735,250342000,508241800,50.7
200705,외의류,점퍼,일반점퍼,3369,120020600,237874200,49.5
200705,외의류,점퍼,패딩점퍼,10744,470703700,947397600,50.3
200705,외의류,코트,모직코트,1866,113723600,229406800,50.4
200705,치마류,스커트,다이마루스커트,1351,30429400,37459800,18.8
200705,치마류,스커트,스커트짧은형,4029,73261000,143796200,49.1
200705,치마류,원피스,원피스(니트),3,60000,107400,44.1
200705,티셔츠류,긴팔티셔츠,무지긴팔티,13686,124299200,159664800,22.1
200705,티셔츠류,긴팔티셔츠,변형긴팔티,19335,267838200,405021000,33.9
200705,티셔츠류,나시형티셔츠,민소매티,9751,122479200,122535800,0.0
200705,티셔츠류,런닝형티셔츠,무지반팔티,1809,10851800,10223200,-6.1
200705,티셔츠류,런닝형티셔츠,변형반팔티,3449,68541600,68271200,-0.4
200705,티셔츠류,런닝형티셔츠,전사반팔티,8871,71258600,115767800,38.4
200705,티셔츠류,맨투맨,맨투맨무지,356,3204000,7528800,57.4
200705,티셔츠류,맨투맨,맨투맨변형,51909,903936300,1629844200,44.5
200705,티셔츠류,반팔티셔츠,무지폴로티,292,1912000,3737600,48.8
200705,티셔츠류,반팔티셔츠,변형폴로티,-10,-158000,-158000,0.0
200705,패션잡화,가방,가방,605,12952000,24987000,48.2
200705,패션잡화,모자,모자,2087,29721100,37498600,20.7
200705,패션잡화,벨트,벨트,1383,19952100,34816400,42.7
200705,패션잡화,양말,양말,2874,11304800,11412800,0.9
200705,패션잡화,장갑,장갑,920,9282000,18644000,50.2
200705,패션잡화,패브릭잡화,목도리(머플러),999,10099800,20256200,50.1
200706,바지류,바지,다이마루바지,1317,15708700,26560600,40.9
200706,바지류,바지,반바지,46,1225000,2143800,42.9
200706,바지류,바지,변형바지,9978,335247200,446235200,24.9
200706,바지류,청바지,청바지,14047,529759300,622220600,14.9
200706,셔츠류,남방,나시,-28,-240000,-474400,49.4
200706,셔츠류,남방,무지 셔츠,639,16296600,16414200,0.7
200706,셔츠류,남방,변형 셔츠,246,5833100,10362800,43.7
200706,셔츠류,남방,스트라이프,1583,23280600,44141400,47.3
200706,셔츠류,남방,체크,5599,116622100,158514200,26.4
200706,스웨터류,스웨터,기본스웨터,4780,84154100,143264000,41.3
